id,origin,obs_date,sps_comm,sps,reg_id,taxon,author,lon,lat,region_long,region,status (native/alien/IAS),comments
242365028,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,135,Plantae,,2.573314905,51.08970642,Belgium,Belgium,IAS,
242374325,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,136,Plantae,,2.573322058,51.09124756,Belgium,Belgium,IAS,
242374338,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,137,Plantae,,2.573420048,51.09141922,Belgium,Belgium,IAS,
242365041,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,138,Plantae,,2.572910786,51.09124756,Belgium,Belgium,IAS,
242374334,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,139,Plantae,,2.573313475,51.09136581,Belgium,Belgium,IAS,
242405119,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,140,Plantae,,2.572470903,51.09199905,Belgium,Belgium,IAS,
242317656,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,141,Plantae,,2.5670289,51.0795856,Belgium,Belgium,IAS,
242365037,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,142,Plantae,,2.572318316,51.09033203,Belgium,Belgium,IAS,
242405104,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,143,Plantae,,2.573152542,51.09156799,Belgium,Belgium,IAS,
242365036,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,144,Plantae,,2.572390318,51.09031296,Belgium,Belgium,IAS,
242374326,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,145,Plantae,,2.573298693,51.09123993,Belgium,Belgium,IAS,
242355115,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,146,Plantae,,2.5733752,51.0896828,Belgium,Belgium,IAS,
242405051,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,147,Plantae,,2.573194981,51.08972168,Belgium,Belgium,IAS,
242405110,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,148,Plantae,,2.57298708,51.09168243,Belgium,Belgium,IAS,
242405068,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,149,Plantae,,2.57305932,51.09031296,Belgium,Belgium,IAS,
242347030,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,150,Plantae,,2.5738148,51.0927944,Belgium,Belgium,IAS,
242347309,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,151,Plantae,,2.5734158,51.0926102,Belgium,Belgium,IAS,
242347718,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,152,Plantae,,2.572291,51.0917273,Belgium,Belgium,IAS,
242347759,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,153,Plantae,,2.5720784,51.0916899,Belgium,Belgium,IAS,
242347858,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,154,Plantae,,2.5720481,51.0914712,Belgium,Belgium,IAS,
242347861,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,155,Plantae,,2.572364266,51.09176803,Belgium,Belgium,IAS,
242405040,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,156,Plantae,,2.573411465,51.08961868,Belgium,Belgium,IAS,
242348580,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,157,Plantae,,2.5730112,51.0915073,Belgium,Belgium,IAS,
242405033,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,158,Plantae,,2.573619604,51.08955765,Belgium,Belgium,IAS,
242375190,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,159,Plantae,,2.572999001,51.09144592,Belgium,Belgium,IAS,
242349319,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,160,Plantae,,2.5729297,51.0909683,Belgium,Belgium,IAS,
242349345,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,161,Plantae,,2.57301,51.0908394,Belgium,Belgium,IAS,
242349623,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,162,Plantae,,2.572884,51.0908498,Belgium,Belgium,IAS,
242349714,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,163,Plantae,,2.5727117,51.0908114,Belgium,Belgium,IAS,
242352271,ObsIdentify,2022-05-21,Mahonie,Berberis aquifolium,164,Plantae,,2.5732497,51.0896129,Belgium,Belgium,IAS,
242365047,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,165,Plantae,,2.572746277,51.09175491,Belgium,Belgium,IAS,
242365046,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,166,Plantae,,2.572883368,51.0916214,Belgium,Belgium,IAS,
242365045,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,167,Plantae,,2.572869778,51.09155655,Belgium,Belgium,IAS,
242405157,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,168,Plantae,,2.567024231,51.07960129,Belgium,Belgium,IAS,
242374357,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,169,Plantae,,2.572945595,51.0917778,Belgium,Belgium,IAS,
242365043,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,170,Plantae,,2.572973728,51.09148407,Belgium,Belgium,IAS,
242374355,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,171,Plantae,,2.573051691,51.0916748,Belgium,Belgium,IAS,
242374347,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,172,Plantae,,2.573225021,51.09155655,Belgium,Belgium,IAS,
242374345,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,173,Plantae,,2.573306799,51.09149933,Belgium,Belgium,IAS,
242374344,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,174,Plantae,,2.573312998,51.09149551,Belgium,Belgium,IAS,
242374242,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,175,Plantae,,2.575448275,51.08904648,Belgium,Belgium,IAS,
242374342,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,176,Plantae,,2.573321581,51.09144592,Belgium,Belgium,IAS,
